strain	virus	assession	date	region	country
Rs7327__KY417151	Severe acute respiratory syndrome-related coronavirus	KY417151	2014-10-24	china	China
Rs9401__KY417152	Severe acute respiratory syndrome-related coronavirus	KY417152	2015-10-16	china	China
Rs3367__KC881006	Severe acute respiratory syndrome-related coronavirus	KC881006	2012-03-19	china	China
RsSHC014__KC881005	Severe acute respiratory syndrome-related coronavirus	KC881005	2011-04-17	china	China
WIV1__KF367457	Severe acute respiratory syndrome-related coronavirus	KF367457	2012-09-XX	china	China
YNLF_31C__KP886808	Severe acute respiratory syndrome-related coronavirus	KP886808	2013-05-23	china	China
YNLF_34C__KP886809	Severe acute respiratory syndrome-related coronavirus	KP886809	2013-05-23	china	China
LYRa11__KF569996	Severe acute respiratory syndrome-related coronavirus	KF569996	2011-XX-XX	china	China
A001__FJ959407	Severe acute respiratory syndrome-related coronavirus	FJ959407	20XX-XX-XX	china	China
Tor2/FP1-10851__JX163924	Severe acute respiratory syndrome-related coronavirus	JX163924	2010-02-05	north_america	USA
Tor2/FP1-10851__JX163927	Severe acute respiratory syndrome-related coronavirus	JX163927	2010-02-05	north_america	USA
Tor2/FP1-10895__JX163925	Severe acute respiratory syndrome-related coronavirus	JX163925	2010-02-05	north_america	USA
Tor2/FP1-10895__JX163928	Severe acute respiratory syndrome-related coronavirus	JX163928	2010-02-05	north_america	USA
Tor2/FP1-10912__JX163923	Severe acute respiratory syndrome-related coronavirus	JX163923	2010-02-10	north_america	USA
Tor2/FP1-10912__JX163926	Severe acute respiratory syndrome-related coronavirus	JX163926	2010-02-10	north_america	USA
UNKNOWN-CS079027__CS079027	Severe acute respiratory syndrome-related coronavirus	CS079027	20XX-XX-XX		
UNKNOWN-CS079028__CS079028	Severe acute respiratory syndrome-related coronavirus	CS079028	20XX-XX-XX		
UNKNOWN-CS079029__CS079029	Severe acute respiratory syndrome-related coronavirus	CS079029	20XX-XX-XX		
UNKNOWN-DJ059765__DJ059765	Severe acute respiratory syndrome-related coronavirus	DJ059765	20XX-XX-XX		
UNKNOWN-DL008527__DL008527	Severe acute respiratory syndrome-related coronavirus	DL008527	20XX-XX-XX		
UNKNOWN-DL476508__DL476508	Severe acute respiratory syndrome-related coronavirus	DL476508	20XX-XX-XX		
UNKNOWN-FV537213__FV537213	Severe acute respiratory syndrome-related coronavirus	FV537213	20XX-XX-XX		
UNKNOWN-HW269828__HW269828	Severe acute respiratory syndrome-related coronavirus	HW269828	20XX-XX-XX		
UNKNOWN-HW375992__HW375992	Severe acute respiratory syndrome-related coronavirus	HW375992	20XX-XX-XX		
ExoN1mutant__FJ882926	Severe acute respiratory syndrome-related coronavirus	FJ882926	2007-09-22	north_america	USA
ExoN1mutant__FJ882928	Severe acute respiratory syndrome-related coronavirus	FJ882928	2007-08-28	north_america	USA
ExoN1mutant__FJ882929	Severe acute respiratory syndrome-related coronavirus	FJ882929	2008-03-28	north_america	USA
ExoN1mutant__FJ882930	Severe acute respiratory syndrome-related coronavirus	FJ882930	2007-09-22	north_america	USA
ExoN1mutant__FJ882931	Severe acute respiratory syndrome-related coronavirus	FJ882931	2008-03-28	north_america	USA
ExoN1mutant__FJ882940	Severe acute respiratory syndrome-related coronavirus	FJ882940	2008-08-06	north_america	USA
ExoN1mutant__FJ882941	Severe acute respiratory syndrome-related coronavirus	FJ882941	2008-03-28	north_america	USA
ExoN1mutant__FJ882944	Severe acute respiratory syndrome-related coronavirus	FJ882944	2008-03-28	north_america	USA
ExoN1mutant__FJ882950	Severe acute respiratory syndrome-related coronavirus	FJ882950	2008-08-06	north_america	USA
