strain	virus	assension	date	region	country
ChinaGD09	seasonal_corona	MK342128	2018-08-01	?	china
12MYKL1089	seasonal_corona	KT359898	2012-XX-XX	?	malaysia
Kilifi_HH_0522_21_May_2010	seasonal_corona	MG428705	2010-05-21	?	kenya
CU_604	seasonal_corona	GQ856802	2006-XX-XX	?	hong_kong
Athens.GR/263/07	seasonal_corona	KX866391	2007-03-27	?	greece
Kilifi/IP/024/09_Dec_2013	seasonal_corona	MG356447	2013-12-09	?	kenya
Kilifi/IP/015/19_Nov_2012	seasonal_corona	MG356438	2012-11-19	?	kenya
ChinaGD12	seasonal_corona	MK342131	2018-08-01	?	china
Kilifi_HH_5401_20_May_2010	seasonal_corona	MG428707	2010-05-20	?	kenya
12MYKL1064	seasonal_corona	KT359895	2012-XX-XX	?	malaysia
V41898	seasonal_corona	FJ656162	2007-03-XX	?	sweden
V42174	seasonal_corona	FJ656166	2007-04-XX	?	sweden
940A_2008	seasonal_corona	KM055636	2008-XX-XX	?	china
Kilifi/IP/018/03_May_2013	seasonal_corona	MG356441	2013-05-03	?	kenya
CBJ123	seasonal_corona	JX524171	2009-01-24	?	china
12MYKL0862	seasonal_corona	KT359883	2012-XX-XX	?	malaysia
NL63/Haiti_4/2015	seasonal_corona	KX179496	2015-01-27	?	haiti
ZA85_05	seasonal_corona	EU189113	?	?	na
ChinaGD14	seasonal_corona	MK342133	2018-08-01	?	china
NL63/FRA_EPI/Caen/2012/13	seasonal_corona	KY862042	2012-02-01	?	france
TN89_1_6	seasonal_corona	KM077084	?	?	usa
NL63/DEN/2005/1876	seasonal_corona	JQ765575	2005-11-21	?	usa
12MYKL0482	seasonal_corona	KT359873	2012-XX-XX	?	malaysia
12MYKL0719	seasonal_corona	KT359874	2012-XX-XX	?	malaysia
CU_488	seasonal_corona	GQ856798	2006-XX-XX	?	hong_kong
V41836	seasonal_corona	FJ656161	2007-03-XX	?	sweden
NL63/FRA_EPI/Caen/2014/18	seasonal_corona	KY862037	2014-01-03	?	france
PUMCH6267	seasonal_corona	HM130757	2007-10-22	?	china
NL63/FRA_EPI/Caen/2014/17	seasonal_corona	KY862038	2014-03-16	?	france
NL63/DEN/2005/1120	seasonal_corona	JQ900260	2005-04-25	?	usa
CU_643	seasonal_corona	GQ856804	2006-XX-XX	?	hong_kong
NL63/DEN/2005/347	seasonal_corona	JQ765572	2005-02-01	?	usa
277A_2007	seasonal_corona	KM055642	2007-XX-XX	?	china
TN96_1_21	seasonal_corona	KM077076	?	?	usa
NL63/FRA_EPI/Caen/2009/08	seasonal_corona	KY862047	2009-04-24	?	france
Kilifi/IP/009/20_May_2011	seasonal_corona	MG356432	2011-05-20	?	kenya
ChinaGD03	seasonal_corona	MK334044	2018-07-13	?	china
NL63/DEN/2005/291	seasonal_corona	JQ900258	2005-01-26	?	usa
