strain	virus	assention	date	region	country
Al-Hasa_24g_2013	mers	KJ156902	2013-05-01	west_asia	saudi_arabia
Hu/Hufuf-KSA-6648/2015	mers	KT805982	2015-01-30	west_asia	saudi_arabia
camel/Riyadh/Ry179/2015	mers	KT368875	2015-03-XX	west_asia	saudi_arabia
Hu/Qasim-KSA-893/2016	mers	MG011352	2016-07-20	west_asia	saudi_arabia
Hu/Riyadh-KSA-16077/2015	mers	KU851863	2015-08-27	west_asia	saudi_arabia
KSA_370	mers	KJ396758	2013-11-XX	west_asia	saudi_arabia
Jordan/camel/26/2016	mers	KX443668	2016-05-19	west_asia	jordan
Al-Hasa_8a_2013	mers	KF600618	2013-05-01	west_asia	saudi_arabia
Riyadh_10c_2013	mers	KJ156907	2013-08-05	west_asia	saudi_arabia
MERSCoV/KE552	mers	MG591491	2015-02-15	africa	kenya
KOREA/Seoul/035-2-2015	mers	KT374055	2015-06-18	japan_korea	south_korea
camel/UAE_415911_W4_2015	mers	MF598719	2015-04-XX	west_asia	united_arab_emirates
Egypt-NC2093/2015	mers	KX425839	2015-XX-XX	africa	egypt
Al-Hasa_11c_2013	mers	KF600636	2013-05-03	west_asia	saudi_arabia
camel/UAE_B50_2015	mers	MF598641	2015-03-XX	west_asia	united_arab_emirates
Madinah_3b_2013	mers	KJ156916	2013-09-11	west_asia	saudi_arabia
Hu/Riyadh-KSA-12160/2016	mers	KX154688	2016-02-XX	west_asia	saudi_arabia
Hu/Riyadh-KSA-9835/2017	mers	MG912605	2017-06-17	west_asia	saudi_arabia
Hu/Oman_110_2015	mers	KY688115	2015-01-11	west_asia	oman
Hu/Riyadh-KSA-014D1N/2015	mers	MG757601	2015-09-01	west_asia	saudi_arabia
Hu-France_(UAE)_-_FRA1_1627-2013_BAL_Sanger	mers	KJ361500	2013-04-26	europe	france
Camel/UAE/D1209/2014	mers	KP719933	?	west_asia	united_arab_emirates
Al-Hasa_9a_2013	mers	KF600648	2013-05-01	west_asia	saudi_arabia
Riyadh_17a_2013	mers	KJ156918	2013-08-26	west_asia	saudi_arabia
Hu/Hufuf-KSA-11905/2015	mers	KT806028	2015-05-29	west_asia	saudi_arabia
Taif_2b_2013	mers	KJ156876	2013-06-12	west_asia	saudi_arabia
camel/Jeddah/D36/2014	mers	KT368832	2014-12-XX	west_asia	saudi_arabia
camel/UAE_B94_2015	mers	MF679172	2015-03-XX	west_asia	united_arab_emirates
Hu/Taif,KSA-2083/2014	mers	KR912192	2014-10-24	west_asia	saudi_arabia
Hu/Qaseem-KSA-18012872/2018	mers	MK462258	2018-07-24	west_asia	saudi_arabia
Riyadh_2014KSA_564/KSA/2014	mers	KM027289	2014-XX-XX	west_asia	saudi_arabia
80946-Kerman	mers	KM044033	2014-06-17	west_asia	iran
camel/UAE_B101_2015	mers	MF598688	2015-03-XX	west_asia	united_arab_emirates
Hu/Riyadh-KSA-10717/2017	mers	MH310911	2017-06-06	west_asia	saudi_arabia
Hu/Jordan-13068/2015	mers	MF741835	2015-09-17	west_asia	jordan
Hu/Hufuf-KSA-11442/2015	mers	KT806025	2015-05-22	west_asia	saudi_arabia
camel/Jeddah/D49/2014	mers	KT368841	2014-12-XX	west_asia	saudi_arabia
Hu/Oman_3311_2015	mers	KY688117	2015-05-30	west_asia	oman
MERS-CoV_camel/Nigeria/NV2020/2016	mers	MG923481	2016-02-16	africa	nigeria
camel/UAE_B47_2015	mers	MF598638	2015-03-XX	west_asia	united_arab_emirates
Abu_Dhabi_UAE_33_2014	mers	KP209311	2014-04-17	west_asia	united_arab_emirates
Hu/Jeddah-KSA-C22351/2015	mers	KT805995	2015-03-20	west_asia	saudi_arabia
Hu/Madinah-KSA-390/2016	mers	MG011351	2016-04-10	west_asia	saudi_arabia
Riyadh_1172/KSA/2014	mers	KT357809	2014-XX-XX	west_asia	saudi_arabia
camel/UAE_B85_2015	mers	MF598675	2015-03-XX	west_asia	united_arab_emirates
Riyadh_1164/KSA/2014	mers	KT357808	2014-XX-XX	west_asia	saudi_arabia
Hu/Qunfidhah-KSA-Rs1338/2015	mers	KT806022	2015-05-12	west_asia	saudi_arabia
KASCTIGB2	mers	MG280945	2015-10-15	west_asia	saudi_arabia
D252/15	mers	KX108939	2015-01-30	west_asia	united_arab_emirates
Hu/Riyadh-KSA-002D1N/2015	mers	MG757593	2015-08-22	west_asia	saudi_arabia
011/LOM/C20/F<1	mers	MK357909	2017-04-21	africa	kenya
camel/UAE_B84_2015	mers	MF598674	2015-03-XX	west_asia	united_arab_emirates
Jordan/camel/45/2016	mers	KX443678	2016-05-19	west_asia	jordan
D374/15	mers	KX108940	2015-02-12	west_asia	united_arab_emirates
Hu/Riyadh-KSA-19949/2016	mers	MG011353	2016-06-01	west_asia	saudi_arabia
2366	mers	MH432120	2017-02-28	west_asia	saudi_arabia
Taif_1_2013	mers	KJ156949	2013-06-12	west_asia	saudi_arabia
camel/UAE_B56_2015	mers	MF598647	2015-03-XX	west_asia	united_arab_emirates
Hu/Riyadh-KSA-17756/2016	mers	MG011348	2016-04-18	west_asia	saudi_arabia
2362	mers	MG470650	2016-11-18	west_asia	saudi_arabia
camel/UAE_B9_2015	mers	MF598601	2015-03-XX	west_asia	united_arab_emirates
Hu/Riyadh-KSA-K17000887/2017	mers	MG011360	2017-01-23	west_asia	saudi_arabia
Hu/Riyadh-KSA-10208/2016	mers	KX154689	2016-01-XX	west_asia	saudi_arabia
MERSCoV/goat/Egypt/3850/2016	mers	MF318501	2016-05-23	africa	egypt
MERS-CoV/KOR/KCDC/001_2018-SP	mers	MH978886	2018-09-08	japan_korea	south_korea
Al-Hasa_22c_2013	mers	KF600633	2013-05-09	west_asia	saudi_arabia
camel/UAE_B12_2015	mers	MF598604	2015-03-XX	west_asia	united_arab_emirates
MERS-CoV_camel/Nigeria/NV2040/2016	mers	MG923477	2016-02-17	africa	nigeria
Hu/Riyadh-KSA-10308/2017	mers	MG912601	2017-06-10	west_asia	saudi_arabia
Jordan/camel/27/2016	mers	KX443669	2016-05-19	west_asia	jordan
Riyadh_14_2013	mers	KJ156934	2013-08-15	west_asia	saudi_arabia
Hu/Riyadh-KSA-7423/2017	mers	MG912597	2017-06-02	west_asia	saudi_arabia
camel/UAE_416452_W4_2015	mers	MF598715	2015-04-XX	west_asia	united_arab_emirates
camel/UAE_B46_2015	mers	MF598637	2015-03-XX	west_asia	united_arab_emirates
camel/UAE_B60_2015	mers	MF598650	2015-03-XX	west_asia	united_arab_emirates
camel/UAE_B58_2015	mers	MF598648	2015-03-XX	west_asia	united_arab_emirates
KFMC-10	mers	KT121578	2014-05-01	west_asia	saudi_arabia
KFMC-11	mers	KT202801	2014-04-28	west_asia	saudi_arabia
Jordan/camel/37/2016	mers	KX443675	2016-05-19	west_asia	jordan
